Id,Name,MajorId,EMark,AMark,SchoolId,EYear,LStatus,EForm
10130065,Lê An Nam,7510601A,18.5,8.6599998,2918,2010,2,2
10130066,Tr?n Thu Linh,7480201A,20.25,7.3000002,2593,2010,4,1
10130067,Hu?nh V? Giang,7210403,22.25,5.2800002,3608,2010,1,3
10130068,Tr?n Mai Mi,7510202N,26.5,0.07,817,2010,4,3
10130069,Lý V? Vi?t,7510406C,25.5,4.27,2995,2010,2,3
10130070,D??ng Ng?c Mai,7549002,19.25,0.62,3267,2010,3,1
10130071,Nguy?n Xuân  Tài,7480108,18.75,3.96,3055,2010,4,2
10130072,D??ng Khánh Dung,7510208,29.25,1.4,618,2010,3,2
10130073,Lý Yên Nhân,7580101,22.5,7.8800001,2184,2010,4,1
10130074,Hu?nh Hi?u Trung,7510102C,27.25,3.0599999,1259,2010,4,2
10130075,Tr?n Tu?n Tri?u,1510201C,17.25,1.3200001,3423,2010,3,1
10130076,?? Vân Nhân,7510202A,27.75,0.5,2787,2010,1,2
10130077,?? Nh? Nam,7510601C,21.5,0.98000002,2080,2010,1,3
10130078,Tr?n Hoài Hoàng,7510301C,20.25,3.29,199,2010,4,1
10130079,?? Xuân Tri?u,7510202C,24.25,0.64999998,2419,2010,2,1
10130080,Hu?nh Tu?n H?nh,7540101,23.25,5.2399998,1764,2010,4,3
10130081,V? Anh Linh,7510106,18.75,3.95,1489,2010,1,2
10130082,Ngô Gia S?n,7510102,27.5,4.8200002,3662,2010,2,3
10130083,Hu?nh Xuân An,7510102A,24.25,4.0700002,3409,2010,3,2
10130084,Ngô Ái Thành,7510202A,29.25,7.7800002,1022,2010,1,3
10130085,??ng Th?y Phong,7510209,29.25,5.5,2293,2010,1,3
10130086,D??ng Hi?u B?ng,7510301A,17.75,2.8,1579,2010,4,3
10130087,Tr?n Y?n Khuê,7510406,29.5,9.7399998,1761,2010,3,2
10130088,??ng Gia Dung,7510205A,21.5,5.1199999,2657,2010,2,3
10130089,Bùi M?nh Ph??ng,7510102C,22.75,4.4200001,2235,2010,3,1
10130090,Hu?nh Huy Trung,7540101A,24.5,4.3299999,1810,2010,3,3
10130091,Lý Ái L?c,7510203,23.75,8.8900003,2253,2010,3,1
10130092,Lý Y?n ?oan,7480118,17.25,6.73,1046,2010,3,1
10130093,D??ng Anh Ái,7510206A,28.5,4.0700002,1106,2010,3,3
10130094,Ph?m Vân Nguy?t,7510203A,21.25,6.75,921,2010,3,2
10130095,Ngô Vi Thiên,7580103,21.75,6.54,3968,2010,4,3
10130096,?? Nh? Anh,7510302C,26.5,5.79,113,2010,3,3
10130097,?? ?ình M?nh,7510302A,25.25,3.0699999,2689,2010,4,3
10130098,Bùi Tu?n L?i,7540209C,22.75,0.93000001,2899,2010,3,2
10130099,Nguy?n Tu?n Mai,7340301C,18.25,5.5599999,2880,2010,2,2
10130100,Bùi Thanh Hoa,7510302,23.75,1.46,3926,2010,3,1
10130101,?? Thi?n Khôi,7510202A,24.75,8.9799995,3662,2010,2,2
10130102,D??ng Huy Nguy?t,7480108A,19.5,4.9000001,2838,2010,1,1
10130103,Hoàng Vân Mai,1510201C,29.75,2.5899999,2096,2010,2,2
10130104,Lý Thu Phong,7510601A,16.75,1.11,823,2010,4,3
10130105,Lý Hoài C?nh,7510601,15.25,7.29,39,2010,2,1
10130106,Lý Vân B?ng,7480108,21.5,4.3800001,1680,2010,1,2
10130107,Tr?n Nh? Bình,7340122,25.25,0.15000001,1103,2010,3,3
10130108,Hoàng Thanh Ngân,7480203,22.25,1.00E-02,3308,2010,1,2
10130109,Hu?nh Công Sinh,7510303C,18.5,5.5999999,1962,2010,2,2
10130110,Lý Tu?n C?nh,7580101,24.5,1.09,2661,2010,4,1
10130111,Hoàng Thi?n Khanh,7510302C,21.5,0.79000002,852,2010,1,3
10130112,D??ng Th?y Hà,7480201A,21.5,4.6500001,2541,2010,4,1
10130113,Ph?m Duy M?nh,7510206,25.75,6.3400002,3781,2010,1,1
10130114,H? Hi?u Khang,7340301C,27.75,5.23,1516,2010,3,1
10130115,Nguy?n Anh Anh,7340301C,27.25,8.6999998,1661,2010,3,2
10130116,Lê Hi?u ?ào,7480108C,20.25,0.28999999,1074,2010,3,3
10130117,Nguy?n Kh?i Lâm,7340122,18.5,0.23999999,655,2010,3,1
10130118,Nguy?n Hoài Nam,7480108A,22.25,3.6700001,3505,2010,4,1
10130119,V? Th?o Hòa,7510302,18.75,1.03,2332,2010,4,3
10130120,H? ?ình Hông,7540209C,22.5,4.46,68,2010,3,3
10130121,Tr?n Thi?n Trung,7510202A,16.75,5.2199998,1133,2010,3,1
10130122,Ph?m Tu?n Hi?n,7510202N,25.75,2.72,2658,2010,4,2
10130123,D??ng H?i H?u,7580103,26.75,7.6100001,1609,2010,3,1
10130124,Bùi M?nh Hà,1510201C,25.5,3.53,1031,2010,1,3
10130125,D??ng Khánh Tín,7480108,28.75,6.3800001,2078,2010,4,2
10130126,Lý An L?i,7510201A,15.5,8.0900002,1534,2010,3,3
10130127,Hu?nh Thành Lam,7510303C,22.5,5.0300002,1982,2010,3,3
10130128,??ng Y?n Sinh,7480118,28.25,5.3299999,3361,2010,3,3
10130129,??ng Ng?c Ng?c,7510301,22.25,8.6199999,1189,2010,1,2
10130130,Nguy?n Khánh Linh,7510102A,27.75,5.4400001,449,2010,3,1
10130131,Nguy?n Gia Ân,7520117,29.25,7.1900001,2395,2010,3,1
10130132,D??ng Công ?ào,7510201A,19.75,7.6900001,1543,2010,1,2
10130133,Lý Y?n B?ng,7480201A,23.25,6.7800002,1589,2010,3,1
10130134,?? Lan Tri?u,7480108C,27.25,7.8699999,4040,2010,1,2
10130135,??ng An ?an,7510102A,24.5,8.1800003,2336,2010,4,2
10130136,Hoàng Thanh Linh,7510301C,24.25,2.7,1116,2010,4,2
10130137,?? Th?o Hông,7510601A,26.75,8.4899998,1218,2010,1,3
10130138,Tr?n Ái L?i,7510303C,24.75,0.1,3095,2010,4,3
10130139,Hu?nh An Anh,7340301,24.25,5.3200002,2083,2010,2,3
10130140,Lê Hi?u B?o,7510201A,15.75,5.00E-02,2373,2010,2,3
10130141,??ng Duy Thành,7480108A,26.5,7.4499998,1667,2010,3,1
10130142,Ngô Hi?u Toàn,7210404,27.5,9.4399996,1778,2010,3,2
10130143,H? Y?n Phong,7540101A,16.25,2.1099999,1940,2010,1,2
10130144,Ngô Ái Hi?n,7510302,28.75,2.0799999,3602,2010,2,1
10130145,Ngô Thanh Ph??ng,7510203C,29.5,2.6500001,3382,2010,3,3
10130146,Ngô Nh? Hoàng,7510301C,20.5,0.44,61,2010,1,3
10130147,Ngô Hi?u H?i,7549002,21.5,8.8599997,2931,2010,2,3
10130148,??ng Ng?c Giang,7510201,18.25,4.1100001,2616,2010,1,1
10130149,Ngô Kh?i Khang,7340301C,18.75,6.0300002,2704,2010,2,1
10130150,Nguy?n Thanh Sinh,7480108,23.25,1.73,1490,2010,1,2
10130151,H? Lan Ng?c,7510203,19.75,7.3099999,116,2010,3,2
10130152,Ph?m Ng?c Châu,7540101C,28.5,3.9300001,3335,2010,2,3
10130153,H? Th?y Châu,7510406C,25.75,4.9400001,1005,2010,4,3
10130154,Lê Huy Hòa,7510406,15.5,7.1900001,2408,2010,1,3
10130155,Tr?n Th?y Hòa,7480201,29.25,7.71,1030,2010,2,3
10130156,V? Yên H?i,7510302,26.5,7.9299998,1610,2010,4,3
10130157,Hoàng Thanh ?ào,7510601,21.25,2.6300001,516,2010,4,3
10130158,??ng Ng?c Di?m,7510301C,28.5,3.9100001,2971,2010,3,3
10130159,Ngô Mai Ng?c,7480118,24.5,4.21,1038,2010,4,2
10130160,Bùi H?i M?nh,7480118,21.5,0.28,2974,2010,1,1
10130161,??ng Thu Hoàng,7210404,27.5,2.2,2286,2010,4,1
10130162,??ng Xuân Bình,7810202,24.25,8.0500002,3654,2010,3,3
10130163,Ph?m Hoàng Phong,7340122,27.75,0.47999999,1420,2010,3,1
10130164,?? H?i M?nh,7510801C,23.75,7,3395,2010,1,1
10130165,Bùi Kh?i Khanh,7549002,20.25,7.6599998,778,2010,1,1
10130166,Ngô Duy  Tài,7210404,19.5,0.54000002,1651,2010,2,2
10130167,Ngô Xuân H?i,7540101,15.5,1.53,2255,2010,1,2
10130168,D??ng An Trung,7540209,15.5,7.5900002,2950,2010,1,1
10130169,Lê An Thiên,7340301C,28.25,3.6800001,781,2010,4,3
10130170,Hoàng Mai Hòa,7510302A,22.5,5.2199998,1811,2010,1,3
10130171,??ng Minh Minh,7540209C,15.5,5.5799999,2861,2010,3,2
10130172,Phan Công ?oan,7510406C,20.75,4.8000002,563,2010,1,2
10130173,Nguy?n Th?o S?n,7580103,19.75,8.8000002,80,2010,3,3
10130174,Lý V? Phong,7510205C,18.75,9.0200005,2666,2010,2,3
10130175,Ngô Trâm Phong,7510106,18.75,7.0900002,4018,2010,2,3
10130176,D??ng Khánh Long,7510406,16.25,4.71,112,2010,2,2
10130177,Ph?m Ng?c Trung,7510203A,15.75,6.1199999,2297,2010,2,3
10130178,Phan Trâm Kh?i,7480203,24.5,7.25,2342,2010,2,1
10130179,Nguy?n ?ình Bình,7510102,23.75,2.05,2640,2010,3,2
10130180,Phan Thành Mai,7510202C,15.25,4.23,4042,2010,1,3
10130181,Bùi Duy Mi,7480203,25.5,8.6000004,1650,2010,2,3
10130182,Bùi Y?n Vi?t,7510601A,24.5,9.0600004,1785,2010,3,1
10130183,Nguy?n Vi ??c,1510201C,18.25,8.9099998,838,2010,4,3
10130184,Tr?n Gia Lâm,7510203C,18.5,0.85000002,2511,2010,1,2
10130185,D??ng Xuân Hòa,7340301C,19.75,4.8600001,1385,2010,4,3
10130186,Bùi Th?y L?i,7480201C,28.5,2.0899999,1496,2010,3,1
10130187,Lý H?i Di?m,1510201C,24.25,7.27,2407,2010,3,1
10130188,Ngô Nh?t Nhân,7520212,15.75,0.43000001,1076,2010,2,2
10130189,H? Ng?c H?u,7510406,27.5,1.86,4035,2010,2,2
10130190,V? Hoài Hi?n,7210404C,16.5,5,870,2010,4,2
10130191,Hoàng ?ình ?an,7340301C,28.5,1.17,272,2010,3,3
10130192,??ng An An,7480203,16.75,6.5500002,3213,2010,3,3
10130193,?? Thanh Hà,7510201A,19.5,9.8900003,1353,2010,3,1
10130194,Tr?n Vi Phong,7510301C,28.25,9.5500002,1618,2010,3,3
10130195,Nguy?n Ng?c Linh,7340122,27.75,2.8299999,3744,2010,4,1
10130196,Tr?n ??c C?nh,7510801C,29.5,9.0600004,3383,2010,2,3
10130197,H? Thành S?n,7510106,20.25,2.99,733,2010,1,2
10130198,Nguy?n M?nh Trung,7510206C,20.75,1.36,2801,2010,1,1
10130199,Lý Thành Khang,7510302A,29.25,3.8499999,995,2010,4,2
10130200,Ph?m Trâm B?o,7510301,25.75,8.6599998,727,2010,3,2
10130201,Ph?m H?i ??t,7580101,24.75,4.5999999,960,2010,4,3
10130202,Hu?nh Minh Thành,7480201C,25.25,9.8800001,2885,2010,3,2
10130203,Tr?n B?o L?i,7480203,19.25,8.7700005,3999,2010,2,1
10130204,V? M?nh Khuê,7510302A,28.75,3.1099999,1575,2010,1,1
10130205,??ng Th?y Hoàng,7580302,22.5,1.7,3702,2010,1,2
10130206,D??ng Duy B?ng,7480118,29.25,6.1300001,3168,2010,3,3
10130207,V? Xuân Vi?t,7510206C,15.75,9.4300003,368,2010,2,3
10130208,V? Gia Ngân,7510102,25.5,2.97,2596,2010,2,2
10130209,??ng Thi?n Hòa,7520117,19.25,0.89999998,3477,2010,1,2
10130210,??ng Hi?u Trung,7510205C,15.75,9.8699999,301,2010,1,1
10130211,Nguy?n M?nh Ái,7510801,20.75,2.8599999,954,2010,3,1
10130212,D??ng Tu?n H?i,7510406,28.5,3.73,3808,2010,3,2
10130213,Ph?m Thi?n Linh,7580103,25.75,0.20999999,1915,2010,3,1
10130214,H? Hi?u Mai,7549002,19.5,5.8800001,2480,2010,2,3
10130215,Tr?n Vi Di?m,7510206C,17.75,1.72,3757,2010,3,3
10130216,Ngô Thu Khôi,7510205C,15.5,8.3000002,525,2010,2,2
10130217,V? Trâm H?nh,7520117,23.5,0.49000001,1575,2010,4,1
10130218,Nguy?n Thành Dung,7480118,26.5,6.46,2001,2010,2,2
10130219,V? Xuân Giang,7510206A,19.5,3.6300001,251,2010,4,1
10130220,H? Minh Thiên,7510102,22.5,1.02,930,2010,3,3
10130221,Ngô Hi?u L?i,7540209,17.75,4.1599998,3690,2010,3,2
10130222,D??ng Hoàng Lâm,7810202,29.75,5.5100002,129,2010,1,1
10130223,H? Hoàng Lâm,7510601C,29.5,8.6999998,3127,2010,4,1
10130224,Lê Nh? Khanh,7510102C,21.25,7.3099999,2758,2010,3,2
10130225,Tr?n B?o An,7540209C,29.25,6.2800002,3216,2010,4,1
10130226,Bùi Vân Ân,7510601A,22.5,7.2800002,1778,2010,4,2
10130227,V? Tu?n Hông,7220201,24.5,7.4200001,1665,2010,3,3
10130228,?? Huy Lam,7510801C,20.75,9.4399996,1165,2010,1,2
10130229,Phan Gia Kh?i,7340301C,15.25,3.71,2983,2010,2,3
10130230,Tr?n Trâm Khanh,7510406C,25.75,5.54,1620,2010,2,2
10130231,Hu?nh An Toàn,7210403,24.75,3.21,3772,2010,2,1
10130232,Ngô Kh?i Kh?i,7510302A,21.25,4.3200002,1346,2010,4,2
10130233,V? Ng?c Lan,7510601,25.75,1.71,2376,2010,2,1
10130234,H? ??c Minh,7510302N,16.75,0.28999999,1407,2010,4,3
10130235,Lý Thu Nguy?t,7510301C,20.25,8.6300001,1166,2010,2,1
10130236,Lê Minh ?an,7510203,29.5,2.2,1986,2010,3,1
10130237,Phan Nh?t Hoàng,1510201C,26.75,2.6700001,1221,2010,3,1
10130238,Tr?n Tu?n Khôi,7480108A,28.25,8.9799995,2834,2010,4,3
10130239,D??ng Hi?u Hà,7480203,20.5,0.92000002,173,2010,2,3
10130240,?? Xuân Khang,7510301A,27.25,6.5100002,952,2010,1,2
10130241,Lý ??c Minh,7510801,27.25,4.6700001,2945,2010,1,2
10130242,Phan Lan C?nh,7510303A,29.75,5.96,2739,2010,3,3
10130243,H? Công Khuê,7580302,21.75,9.54,2795,2010,4,1
10130244,Ph?m Y?n Châu,7510102,22.25,1.71,2489,2010,3,3
10130245,Ngô Lan Tri?u,7510205,25.25,9.0500002,1741,2010,1,1
10130246,Ngô Vân S?n,7540101,19.25,5.98,2589,2010,1,3
10130247,Ph?m Thu Kh?i,7540209,22.75,6.0700002,2691,2010,1,3
10130248,D??ng An An,7510208,17.75,2.55,2518,2010,1,1
10130249,?? Vi Ng?c,7510301C,21.75,7.9699998,1224,2010,3,2
10130250,??ng Vi H?nh,7510209,19.75,4.5900002,3857,2010,2,2
10130251,Lê Duy Hà,7510302A,17.25,6.46,430,2010,2,3
10130252,H? Công Mai,7510801C,27.5,5.9400001,484,2010,4,1
10130253,Lê Khánh L?c,7520212,28.75,0.99000001,1392,2010,3,3
10130254,Ngô Kh?i Giang,7510401,25.25,8.6300001,3122,2010,4,2
10130255,Nguy?n B?o Nhi,7510801C,15.5,2.6199999,1773,2010,4,2
10130256,Lê Qu?nh Di?m,7480201,27.75,8.0200005,2046,2010,4,1
10130257,Lý Vân H?u,7510301A,16.5,4.25,1876,2010,3,2
10130258,Ph?m Yên Sang,7480201C,19.75,7.4699998,1843,2010,3,3
10130259,Lê Vân Phong,7510601,19.25,8.8900003,3228,2010,3,3
10130260,Phan Duy Th?ch,7510301A,25.25,1.64,2601,2010,4,1
10130261,Phan Hoài Bình,7580205,28.25,2.5699999,1315,2010,2,3
10130262,Lê Th?y Sinh,7510301A,22.25,7.9000001,975,2010,1,2
10130263,??ng Vi Khanh,7580101,16.25,1.3200001,3642,2010,1,2
10130264,Ngô M?nh Hoàng,7540101C,24.75,1.6900001,4046,2010,4,3
10130265,Lê Ng?c ?oan,7340122,26.25,3.8,2286,2010,2,3
10130266,Nguy?n Minh Khanh,7510205A,27.5,0.77999997,2711,2010,2,1
10130267,Bùi Kh?i Hông,7510601,18.5,6.5100002,66,2010,2,3
10130268,Phan Anh Hà,7510205,21.75,0.66000003,3422,2010,2,1
10130269,V? Trâm Lam,7510605,22.25,5.1799998,1659,2010,4,2
10130270,Lý Yên Toàn,7510401,18.25,4.7399998,1568,2010,1,1
10130271,D??ng Minh Tú,7480201,20.75,3.5699999,3490,2010,2,1
10130272,D??ng Qu?nh L?c,7510301C,17.25,0.69,2883,2010,3,1
10130273,?? Thành Giang,7540101,20.5,0.28,1032,2010,3,2
10130274,H? Công ??t,7540209C,25.5,4.6599998,3861,2010,1,3
10130275,Lê Xuân Nhân,7549002,18.75,3.5899999,3919,2010,4,2
10130276,Tr?n B?o L?c,7540101A,17.25,4.48,2929,2010,4,2
10130277,Hoàng Qu?nh L?i,7510206A,26.75,9.3699999,3564,2010,1,1
10130278,V? M?nh Bình,7580302,22.25,8.9300003,1331,2010,2,1
10130279,Lê An Nam,7510209,18.25,9.0299997,610,2010,2,1
10130280,Bùi Hoàng Bình,7480108A,21.5,9.9300003,4079,2010,4,1
10130281,Hoàng Duy Minh,7480203,27.75,4.1799998,1071,2010,2,2
10130282,Bùi ??c Thiên,7510801,15.75,9.6000004,569,2010,3,3
10130283,Hoàng Th?o Hòa,7480108A,16.25,5.6799998,867,2010,3,2
10130284,Phan B?o Khoa,7540101,28.75,0.18000001,2522,2010,1,3
10130285,Nguy?n Thu Lam,7510302A,17.75,5.27,1500,2010,1,2
10130286,Lê Hi?u Ngân,7510205C,27.5,7.3499999,3059,2010,3,2
10130287,Bùi Anh Hòa,7810202,25.75,3.75,394,2010,2,2
10130288,Hu?nh H?i H?i,7340122,22.75,7.3899999,1242,2010,4,3
10130289,Tr?n Ng?c Hông,7540209,26.75,3.95,466,2010,4,2
10130290,Lý V? M?nh,7510301A,16.5,5.7600002,2067,2010,4,1
10130291,Ph?m Hoài Tri?u,7210404,27.5,1.83,4006,2010,2,3
10130292,Hu?nh Hoàng Sinh,7510801,26.25,0.69999999,1341,2010,4,3
10130293,Ph?m Nh? Hoàng,7340301C,27.75,3.26,2164,2010,3,3
10130294,Lý ?ình M?nh,7510601A,23.75,6.4400001,1310,2010,4,2
10130295,Hu?nh Anh Nguy?t,7510203,28.25,1.28,426,2010,4,3
10130296,Phan Th?y Khoa,7510801C,26.25,9.75,2541,2010,4,3
10130297,Ph?m Công Sinh,7510208,27.25,9.3599997,3347,2010,2,2
10130298,Nguy?n Lan H?nh,7580302,22.5,5.1500001,3534,2010,2,1
10130299,Bùi Y?n Ngân,7480108C,27.75,6.6999998,1162,2010,4,2
10130300,Bùi Vân Thiên,7510106,24.25,6.8000002,3749,2010,3,1
10130301,Ph?m Y?n ?oan,7540101A,28.25,2.8199999,968,2010,1,2
10130302,Phan ??c Khoa,7510301,17.25,5.9200001,149,2010,1,1
10130303,Hu?nh Thi?n ??c,7510202C,20.5,2.55,3064,2010,1,3
10130304,Lý Kh?i Kh?i,7510601,15.5,5.8899999,2715,2010,3,2
10130305,Ngô Xuân  Tài,7510402,16.5,8.04,1298,2010,4,2
10130306,Hu?nh Th?y Tú,7210404,22.75,7.71,3103,2010,3,1
10130307,Phan Y?n Ân,7540101,18.75,4.3699999,2558,2010,1,1
10130308,Phan Hoài Ngân,7340301,29.5,0.11,1273,2010,3,3
10130309,Ngô Thanh H?u,7510102,25.25,0.07,3405,2010,4,3
10130310,Lý Tu?n Sinh,7580101,26.75,8.5200005,585,2010,4,2
10130311,??ng B?o Lâm,7580302,26.5,8.96,2023,2010,2,1
10130312,Nguy?n Hoài L?c,7540101A,21.75,2.6099999,1201,2010,4,2
10130313,??ng Duy Di?m,7510401C,17.25,4.1999998,69,2010,1,2
10130314,Hu?nh Xuân M?nh,7480203,26.25,9.1400003,2758,2010,4,3
10130315,Tr?n Ng?c L?c,7510301A,29.25,7.9200001,3364,2010,2,1
10130316,Hu?nh Gia Bích,7540101C,15.5,2.77,917,2010,4,1
10130317,Lý B?o ??c,7480108A,25.75,2.45,2440,2010,1,1
10130318,Bùi Yên  Tài,7510202A,16.5,7.5100002,3099,2010,3,2
10130319,?? Th?o Sang,7340301,17.75,2.22,4040,2010,3,3
10130320,Ngô Thi?n Khuê,7510206,21.25,0.50999999,30,2010,4,3
10130321,H? ??c Di?m,7510206A,21.75,3.55,1359,2010,1,1
10130322,??ng Ái M?nh,7340120,19.75,5.8600001,324,2010,1,1
10130323,?? Thu Tú,7480201,22.25,5.00E-02,3334,2010,4,1
10130324,Phan Tu?n Châu,7510206A,22.25,5.1399999,1991,2010,4,1
10130325,Lý Th?y Linh,7340301C,28.75,9.79,1973,2010,4,1
10130326,Lê Minh B?ng,7220201,26.5,4.8699999,1466,2010,2,3
10130327,V? Hoài Lan,7480201,15.25,4.5100002,2360,2010,4,1
10130328,H? Ng?c Thiên,7510202,15.5,5.9099998,850,2010,2,2
10130329,Ngô Xuân Châu,7510303A,24.75,9.5500002,3884,2010,1,1
10130330,Nguy?n Qu?nh Khanh,7510206,20.25,6.2199998,2960,2010,2,2
10130331,Hoàng Th?y Tín,7220201,16.75,0.52999997,3105,2010,4,2
10130332,Hoàng ??c Hoa,7480108,16.75,3.8599999,2388,2010,3,3
10130333,Lý ??c Vi?t,7510401C,25.25,3.49,2473,2010,1,2
10130334,Nguy?n Xuân Giang,7510601C,18.5,3.9200001,2517,2010,1,2
10130335,Ngô Anh Vi?t,7510301,16.25,3.52,301,2010,1,1
10130336,D??ng Nh? Hoa,7340120,24.75,4.00E-02,1970,2010,2,2
10130337,Lý Công Bích,7480201,16.75,6.25,3102,2010,1,3
10130338,Tr?n Xuân L?c,7510801,27.25,6.9200001,1495,2010,1,2
10130339,Bùi V? Bình,7510601,18.75,9.3800001,1559,2010,4,3
10130340,D??ng An Hông,7580302,28.75,3.8599999,1607,2010,2,3
10130341,??ng Khánh S?n,7480108C,27.5,8.4099998,2747,2010,3,2
10130342,??ng ??c Ph??ng,7220201,21.75,1.35,439,2010,1,1
10130343,Bùi Duy Tín,7510601A,25.75,0.91000003,3795,2010,4,2
10130344,Lý Vi Nguy?t,7510205C,27.75,1.1900001,2586,2010,4,1
10130345,Hoàng An Ngân,7510205C,16.5,6.48,2226,2010,4,2
10130346,Lê Thu Tín,7540209,27.5,4.3899999,2918,2010,2,2
10130347,Tr?n Hoàng ?ào,7480201A,27.25,6.1100001,2874,2010,3,2
10130348,Tr?n Thành Khuê,7549002,15.5,9.5100002,683,2010,3,1
10130349,Hu?nh Kh?i Ái,7480201C,27.25,3.99,3066,2010,1,1
